Type,Question,Option1,Option2,Option3,Option4,Answer,Points
Multiple Choice,What planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,1,300
True or False,Water boils at 100°C at sea level.,,,,,True,300
Multiple Choice,What gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,1,300
True or False,Humans have 4 lungs.,,,,,False,300
Multiple Choice,What is the center of an atom called?,Electron,Proton,Nucleus,Neutron,2,300
True or False,Sound travels faster in water than in air.,,,,,True,300
Multiple Choice,Which organ pumps blood throughout the body?,Brain,Lungs,Heart,Liver,2,300
True or False,Lightning is hotter than the surface of the sun.,,,,,True,300
Multiple Choice,What force keeps us on the ground?,Magnetism,Gravity,Friction,Inertia,1,300
Multiple Choice,Which part of the plant conducts photosynthesis?,Stem,Roots,Flower,Leaves,3,300
