Type,Question,Option1,Option2,Option3,Option4,Answer,Points
Multiple Choice,What is the square root of 144?,10,11,12,13,2,300
True or False,Is 121 a prime number?,,,,,False,300
Multiple Choice,What is 15% of 200?,25,30,35,40,1,300
Multiple Choice,What is the value of 2^5?,32,64,16,48,0,300
True or False,The equation x^2 = -1 has a real solution.,,,,,False,300
Multiple Choice,What is the next prime number after 29?,30,31,33,37,1,300
Multiple Choice,What is the derivative of x^2?,x,1,2x,x^2,2,300
True or False,π (pi) is an irrational number.,,,,,True,300
Multiple Choice,Solve for x: 3x - 6 = 9.,5,6,4,3,0,300
Multiple Choice,What is the sum of the angles in a hexagon?,540°,720°,900°,1080°,1,300
